codigo;nome do produto;sexo;tamanho;cor;imagem;quantidade;valor de custo;perc lucro;valor de venda
1151;Macacão Curto Romper Laise Trick Nick;Feminino;XG - Bebê;Off White;;1;R$37.17;75%;R$65.90
1153;Vestido Morango Coelho Trick Nick;Feminino;1 Ano;Azul Marinho;;1;R$27.00;75%;R$47.90
1154;Vestido Morango Coelho Trick Nick;Feminino;2 Anos;Branco;;1;R$27.00;75%;R$47.90
1155;Vestido Tule Trick Nick;Feminino;4 anos;Off White;;1;R$29.26;89%;R$55.90
1157;Vestido Tule Trick Nick;Feminino;8 anos;Off White;;1;R$29.26;89%;R$55.90
1158;Body HoHoHo Trick Nick;Unisex;P - Bebê;Estampado;20221217_083102.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recrUtXcuLw9IYo5d/fldknrxBWGyUjOsAV/attGvEyXzmDqGUdKk);1;R$31.52;75%;R$55.90
1159;Body HoHoHo Trick Nick;Unisex;M - Bebê;Estampado;20221217_083102.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec6OSAL0p0s782cs/fldknrxBWGyUjOsAV/attGvEyXzmDqGUdKk);1;R$31.52;75%;R$55.90
1160;Body HoHoHo Trick Nick;Unisex;G - Bebê;Estampado;20221217_083102.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recHUBO5MW6e7dug7/fldknrxBWGyUjOsAV/attGvEyXzmDqGUdKk);1;R$31.52;75%;R$55.90
1161;Body HoHoHo Trick Nick;Unisex;XG - Bebê;Estampado;20221217_083102.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recCL4IqHaSyZAeci/fldknrxBWGyUjOsAV/attGvEyXzmDqGUdKk);1;R$31.52;75%;R$55.90
1162;Bermuda Dino Trick Nick;Masculino;4 anos;Marrom;20220523_192237.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recyDXcYYCXQWg5Aw/fldknrxBWGyUjOsAV/attdSH43JRkVeVnHH), 20220523_192143.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recyDXcYYCXQWg5Aw/fldknrxBWGyUjOsAV/attKdr9cnV9DKkeRR);1;R$17.96;75%;R$31.90
1163;Bermuda Dino Trick Nick;Masculino;6 anos;Marrom;20220523_192237.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recvD3fIpyDqkJr0l/fldknrxBWGyUjOsAV/attdSH43JRkVeVnHH), 20220523_192143.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recvD3fIpyDqkJr0l/fldknrxBWGyUjOsAV/attKdr9cnV9DKkeRR);1;R$17.96;75%;R$31.90
1164;Bermuda Dino Trick Nick;Masculino;8 anos;Marrom;20220523_192237.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWDFz4avSYKl5nY/fldknrxBWGyUjOsAV/attdSH43JRkVeVnHH), 20220523_192143.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWDFz4avSYKl5nY/fldknrxBWGyUjOsAV/attKdr9cnV9DKkeRR);1;R$17.96;75%;R$31.90
1166;Conjunto Camisa e Bermuda moletinho;Masculino;1 Ano;Azul Marinho;;1;R$27.00;80%;R$49.90
1167;Conjunto Camisa e Bermuda moletinho;Masculino;2 Anos;Azul Marinho;;1;R$27.00;80%;R$49.90
1168;Conjunto Camisa e Bermuda moletinho;Masculino;3 Anos;Azul Marinho;;1;R$27.00;80%;R$49.90
1169;Conjunto Camisa e Bermuda moletinho;Masculino;6 anos;Azul Marinho;;1;R$32.65;75%;R$57.90
1170;Conjunto Camisa e Bermuda moletinho;Masculino;8 anos;Azul Marinho;;1;R$32.65;75%;R$57.90
1172;Conjunto Tubarão short tactel;Masculino;4 anos;VERMELHO;;1;R$22.48;75%;R$39.90
1173;Conjunto Tubarão short tactel;Masculino;6 anos;VERMELHO;;1;R$22.48;75%;R$39.90
1174;Conjunto Tubarão short tactel;Masculino;8 anos;VERMELHO;;1;R$22.48;75%;R$39.90
1175;Conjunto Tubarão short tactel;Masculino;10 anos;VERMELHO;;1;R$22.48;75%;R$39.90
1176;Conjunto Tubarão short tactel;Masculino;10 anos;Azul Marinho;;1;R$22.48;75%;R$39.90
1178;"Conjunto Regata e Short Tactel Ocean";Masculino;8 anos;Amarelo;;1;R$22.48;75%;R$39.90
1179;"Conjunto Regata e Short Tactel Ocean";Masculino;10 anos;verde;;1;R$22.48;75%;R$39.90
1180;Coonjunto Blusa e Short Tactel Tartarugas;Masculino;6 anos;Azul;;1;R$22.48;75%;R$39.90
1181;Coonjunto Blusa e Short Tactel Tartarugas;Masculino;8 anos;verde;;1;R$22.48;75%;R$39.90
1182;Coonjunto Blusa e Short Tactel Tartarugas;Masculino;10 anos;verde;;1;R$22.48;75%;R$39.90
1183;Vestido Arco-iris Estampado Rovitex;Feminino;1 Ano;VERMELHO;;1;R$19.09;106%;R$39.90
1184;Vestido Arco-iris Estampado Rovitex;Feminino;2 Anos;VERMELHO;;1;R$19.09;106%;R$39.90
1185;Vestido Arco-iris Estampado Rovitex;Feminino;3 Anos;VERMELHO;;1;R$19.09;106%;R$39.90
1186;Vestido  florzinha Rovitex;Feminino;1 Ano;VERMELHO;20221219_143204.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recryFF81hKfe1M6F/fldknrxBWGyUjOsAV/attFbIVEODJi2OBv5);1;R$16.83;134%;R$39.90
1187;Vestido  florzinha Rovitex;Feminino;2 Anos;VERMELHO;20221219_143204.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recdVg3tnNJyENqUc/fldknrxBWGyUjOsAV/attFbIVEODJi2OBv5);1;R$16.83;134%;R$39.90
1188;Vestido  florzinha Rovitex;Feminino;3 Anos;VERMELHO;20221219_143204.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rechADpMl0CaOQ53p/fldknrxBWGyUjOsAV/attFbIVEODJi2OBv5);1;R$16.83;134%;R$39.90
1189;Conjunto Chill Out Short Tactel;Feminino;1 Ano;Salmão;;1;R$22.48;75%;R$39.90
1190;Conjunto Chill Out Short Tactel;Feminino;2 Anos;Salmão;;1;R$22.48;75%;R$39.90
1191;Conjunto Chill Out Short Tactel;Feminino;3 Anos;Salmão;;1;R$22.48;75%;R$39.90
1192;Conjunto Blusa bolsa fake short tactel;Feminino;1 Ano;Azul;20221220_094109.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recEc0iplfs1jmtBp/fldknrxBWGyUjOsAV/attewmnkl2gA7RJwZ);1;R$22.48;75%;R$39.90
1194;Conjunto Blusa bolsa fake short tactel;Feminino;3 Anos;Azul;20221220_094109.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recFhk5yP49cWwJRG/fldknrxBWGyUjOsAV/attewmnkl2gA7RJwZ);1;R$22.48;75%;R$39.90
1195;Conjunto Marinha Rovitex Alça + Short Tactel;Feminino;4 anos;Estampada;;1;R$22.48;75%;R$39.90
1196;Conjunto Marinha Rovitex Alça + Short Tactel;Feminino;6 anos;Estampada;;1;R$22.48;75%;R$39.90
1197;Conjunto Marinha Rovitex Alça + Short Tactel;Feminino;8 anos;Estampada;;1;R$22.48;75%;R$39.90
1199;Macacão curto ursos;Masculino;M - Bebê;Azul Marinho;20221219_141319.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec9ZOfva9tAcueIW/fldknrxBWGyUjOsAV/attQ5NBQK6VBF4Lqs);1;R$29.26;80%;R$53.90
1200;Macacão curto ursos;Masculino;G - Bebê;Azul Marinho;20221219_141319.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recPnAoFRrda7U85K/fldknrxBWGyUjOsAV/attQ5NBQK6VBF4Lqs);1;R$29.26;80%;R$53.90
1201;Macacão curto ursos;Masculino;XG - Bebê;Azul Marinho;20221219_141319.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recY3WADJVfC95Z0U/fldknrxBWGyUjOsAV/attQ5NBQK6VBF4Lqs);1;R$29.26;80%;R$53.90
1204;Vestido babados poá 3d;Feminino;1 Ano;Off White;;1;R$23.61;109%;R$49.90
